Sobrenome,Nome_Consistente,Sobrenome_Consistente,Nome_Completo_Consistente
Kaliaha,True,True,True
Frenzel,True,True,True
Cienfuegos,True,True,True
Yatlav,True,True,True
Yatlav,True,True,True
Binns,True,True,True
Adiyaman,True,True,True
Miceli,True,True,True
Pinto,False,True,False
Pinto,False,True,False
D,True,True,True
Rezvani,True,True,True
Harman,True,True,True
Rodríguez Martínez Phd,False,False,False
Ricard,True,True,True
Limanówka-Kuciel,True,True,True
Aït Bachir,True,False,False
Zielonka-Majka,False,True,False
Platon,True,True,True
Platon,True,True,True
Platon,True,True,True
Jacquin PhD,False,False,False
Littlefair,True,True,True
R,True,False,False
R,True,False,False
Gracia,True,True,True
Gracia,True,True,True
Navikiene,True,True,True
Navikiene,True,True,True
Matthews,True,True,True
Dufour,False,False,False
Masiak,True,True,True
Masiak,True,True,True
Masiak,True,True,True
Markiewicz,True,True,True
Ziegler,True,True,True
Ziegler,True,True,True
Darnell,True,True,True
Williams,True,True,True
Lotta,True,True,True
Wüst,True,True,True
Wüst,True,True,True
Barbosa,True,True,True
Barbosa,True,True,True
Bar-Or,True,True,True
Bar-Or,True,True,True
Bar-Or,True,True,True
Mukherjee,False,False,False
Mukherjee,False,False,False
Wogan,True,True,True
Pehnelt,True,True,True
Ferreira,False,False,False
Pereira,False,False,True
Smith,True,True,True
Smith,True,True,True
Smith,True,True,True
Smith,True,True,True
Smith,True,True,True
Smith,True,True,True
Smith,True,True,True
Staudigl,True,True,True
Staudigl,True,True,True
Neitzel,True,False,False
Chen,True,True,True
Dyk,False,True,False
Bock,True,True,True
Mindren,True,False,False
Heinrich,True,True,True
Barthollet,True,True,True
Benabdallah,True,False,False
Bianchi,True,True,True
Bianchi,True,True,True
Hanfstengl,True,True,True
Thas-Pinot,True,True,True
Coppens,True,True,True
Grassi,True,True,True
Codaccioni,True,True,True
Diez Burillo,True,True,True
Diez Burillo,True,True,True
Diez Burillo,True,True,True
Diez Burillo,True,True,True
Diez Burillo,True,True,True
Weber,True,True,True
Weber,True,True,True
F,True,False,False
Winkler,True,True,True
Winkler,True,True,True
Sumner,True,True,True
Sumner,True,True,True
Korichi,True,True,True
Cooke,True,True,True
Cooke,True,True,True
Park,True,True,True
Legrand,True,False,False
Legrand,True,False,False
Legrand,True,False,False
Vegas Dufour,True,True,True
Imiolczyk Mba,True,False,False
Ergül,True,True,True
Peebles,True,True,True
Peebles,True,True,True
Czaplicka,True,True,True
Davis,True,True,True
Davis,True,True,True
Davis,True,True,True
Davis,True,True,True
Oschatz,True,True,True
Oschatz,True,True,True
Porté,True,True,True
Ruet,True,True,True
Ruet,True,True,True
Gaillard,True,False,False
Din,True,True,True
Till,True,True,True
Lenza,False,True,False
Bromberg,True,True,True
Bromberg,True,True,True
Utermark,True,True,True
Utermark,True,True,True
Hull,True,True,True
Ulbrich,True,True,True
Hundhammer,False,False,False
Sallo,True,True,True
Sallo,True,True,True
Sallo,True,True,True
Rebenich,True,True,True
VE,True,False,False
VE,True,False,False
Claassen,True,True,True
van Hooydonk,True,True,True
Hibbert,True,True,True
Gotsch,True,False,False
Matysiak,True,True,True
Varlemann,True,True,True
Leib,True,True,True
Leib,True,True,True
Macig,False,False,False
Macig,False,False,False
T,True,False,False
Baylan,True,True,True
Baylan,True,True,True
Baylan,True,True,True
Baylan,True,True,True
Baylan,True,True,True
Williams,True,True,True
Rosenbaum,True,True,True
Toro Fernández,False,False,False
Carnet,True,False,False
Ait Rayd,False,False,False
Bautista Baltazar,True,True,True
Peralta Martín-Palomino,True,True,True
Terrasa,True,True,True
Wittmann,True,True,True
Elhawary,True,True,True
Moll,True,True,True
Moll,True,True,True
