País,Problemas_Pais,Pais_Extraido_Localizacao,Consistencia_Pais,Pais_Padronizado_Temp,Validade_Pais,País_Corrigido,Validade_Pais_Corrigido
Lithuania,['OK'],Lithuania,Consistente,Lithuania,Válido,Lithuania,Válido
Germany,['OK'],Germany,Consistente,Germany,Válido,Germany,Válido
Spain,['OK'],Spain,Consistente,Spain,Válido,Spain,Válido
,['Vazio/Nulo'],Turkey,Apenas Localização tem país,,Inválido (vazio),Unknown,Unknown
,['Vazio/Nulo'],Turkey,Apenas Localização tem país,,Inválido (vazio),Unknown,Unknown
,['Vazio/Nulo'],United Kingdom,Apenas Localização tem país,,Inválido (vazio),United Kingdom,Válido
Germany,['OK'],Germany,Consistente,Germany,Válido,Germany,Válido
Spain,['OK'],Spain,Consistente,Spain,Válido,Spain,Válido
Portugal,['OK'],Portugal,Consistente,Portugal,Válido,Portugal,Válido
Portugal,['OK'],Portugal,Consistente,Portugal,Válido,Portugal,Válido
France,['OK'],France,Consistente,France,Válido,France,Válido
Germany,['OK'],,Apenas País preenchido,Germany,Válido,Germany,Válido
,['Vazio/Nulo'],United Kingdom,Apenas Localização tem país,,Inválido (vazio),United Kingdom,Válido
,['Vazio/Nulo'],Spain,Apenas Localização tem país,,Inválido (vazio),Spain,Válido
France,['OK'],France,Consistente,France,Válido,France,Válido
Poland,['OK'],Poland,Consistente,Poland,Válido,Poland,Válido
France,['OK'],France,Consistente,France,Válido,France,Válido
,['Vazio/Nulo'],Poland,Apenas Localização tem país,,Inválido (vazio),Poland,Válido
France,['OK'],France,Consistente,France,Válido,France,Válido
France,['OK'],France,Consistente,France,Válido,France,Válido
France,['OK'],France,Consistente,France,Válido,France,Válido
,['Vazio/Nulo'],,Ambos nulos,,Inválido (vazio),Unknown,Unknown
United Kingdom,['OK'],United Kingdom,Consistente,United Kingdom,Válido,United Kingdom,Válido
United Kingdom,['OK'],United Kingdom,Consistente,United Kingdom,Válido,United Kingdom,Válido
United Kingdom,['OK'],United Kingdom,Consistente,United Kingdom,Válido,United Kingdom,Válido
,['Vazio/Nulo'],Spain,Apenas Localização tem país,,Inválido (vazio),Spain,Válido
,['Vazio/Nulo'],Spain,Apenas Localização tem país,,Inválido (vazio),Spain,Válido
,['Vazio/Nulo'],Lithuania,Apenas Localização tem país,,Inválido (vazio),Lithuania,Válido
,['Vazio/Nulo'],Lithuania,Apenas Localização tem país,,Inválido (vazio),Lithuania,Válido
,['Vazio/Nulo'],United Kingdom,Apenas Localização tem país,,Inválido (vazio),United Kingdom,Válido
,['Vazio/Nulo'],,Ambos nulos,,Inválido (vazio),Unknown,Unknown
Germany,['OK'],Germany,Consistente,Germany,Válido,Germany,Válido
Germany,['OK'],Germany,Consistente,Germany,Válido,Germany,Válido
Germany,['OK'],Germany,Consistente,Germany,Válido,Germany,Válido
Poland,['OK'],Poland,Consistente,Poland,Válido,Poland,Válido
Germany,['OK'],,Apenas País preenchido,Germany,Válido,Germany,Válido
Germany,['OK'],,Apenas País preenchido,Germany,Válido,Germany,Válido
United Kingdom,['OK'],United Kingdom,Consistente,United Kingdom,Válido,United Kingdom,Válido
,['Vazio/Nulo'],United Kingdom,Apenas Localização tem país,,Inválido (vazio),United Kingdom,Válido
United Kingdom,['OK'],United Kingdom,Consistente,United Kingdom,Válido,United Kingdom,Válido
Germany,['OK'],Germany,Consistente,Germany,Válido,Germany,Válido
Germany,['OK'],Germany,Consistente,Germany,Válido,Germany,Válido
Brazil,['OK'],Brazil,Consistente,Brazil,Válido,Brazil,Válido
Brazil,['OK'],Brazil,Consistente,Brazil,Válido,Brazil,Válido
,['Vazio/Nulo'],,Ambos nulos,,Inválido (vazio),Unknown,Unknown
,['Vazio/Nulo'],,Ambos nulos,,Inválido (vazio),Unknown,Unknown
,['Vazio/Nulo'],,Ambos nulos,,Inválido (vazio),Unknown,Unknown
,['Vazio/Nulo'],India,Apenas Localização tem país,,Inválido (vazio),India,Válido
