Setor da empresa,Categoria_Setor,Setor_empresa_padronizado,Categoria_Setor_Padronizada
Computer Games,Outros,Jogos Eletrônicos,Outros
Computer Software,Tecnologia & TI,Software,Tecnologia & TI
Computer Software,Tecnologia & TI,Software,Tecnologia & TI
Computer Software,Tecnologia & TI,Software,Tecnologia & TI
Computer Software,Tecnologia & TI,Software,Tecnologia & TI
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
Computer Software,Tecnologia & TI,Software,Tecnologia & TI
Pharmaceuticals,Saúde & Farmacêutico,Farmacêutico,Saúde & Farmacêutico
Computer Software,Tecnologia & TI,Software,Tecnologia & TI
Computer Software,Tecnologia & TI,Software,Tecnologia & TI
Computer Software,Tecnologia & TI,Software,Tecnologia & TI
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
Management Consulting,Consultoria,Consultoria Em Gestão,Consultoria & Serviços
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
Biotechnology,Tecnologia & TI,Biotecnologia,Saúde & Farmacêutico
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
Computer Software,Tecnologia & TI,Software,Tecnologia & TI
Computer Software,Tecnologia & TI,Software,Tecnologia & TI
Computer Software,Tecnologia & TI,Software,Tecnologia & TI
Computer Software,Tecnologia & TI,Software,Tecnologia & TI
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
Information Technology & Services,Tecnologia & TI,Tecnologia Da Informação & Serviços,Tecnologia & TI
