Telefone da sede,Tipo_Telefone,Formato_Telefone,Codigo_Pais_Telefone,Problemas_Telefone
,Nulo,Nulo,,['Nulo']
493023590710.0,Numérico,Numérico Sem Formatação,49,['OK']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
1925269600.0,Numérico,Numérico Sem Formatação,44,['OK']
49893090570.0,Numérico,Numérico Sem Formatação,49,['OK']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
34935177913.0,Numérico,Numérico Sem Formatação,34,['OK']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
34976364285.0,Numérico,Numérico Sem Formatação,,['OK']
34976364285.0,Numérico,Numérico Sem Formatação,,['OK']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
2072566111.0,Numérico,Numérico Sem Formatação,44,['OK']
932780054.0,Numérico,Numérico Sem Formatação,34,['OK']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
441274287700.0,Numérico,Numérico Sem Formatação,44,['OK']
,Nulo,Nulo,,['Nulo']
498418995000.0,Numérico,Numérico Sem Formatação,49,['OK']
498418995000.0,Numérico,Numérico Sem Formatação,49,['OK']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
