Cargo,Cargo_Area,Cargo_Nivel_Hierarquico,Cargo_ID
Senior Devops/Sre Engineer,TI,Outros,CAR001
Chief Technology Officer (CTO),TI,C-Level/Diretoria,CAR002
Head of IT,TI,C-Level/Diretoria,CAR003
Country Manager,Outras,Gerência,CAR004
Data Manager,TI,Gerência,CAR005
Ai Main Advisor,Dados,Consultoria,CAR006
Compliance Manager,Outras,Gerência,CAR007
Project Manager,Outras,Gerência,CAR008
Php Developer,TI,Outros,CAR009
Data Team Lead,TI,Gerência,CAR010
Chief Product and Technology officer (Cpto),TI,C-Level/Diretoria,CAR011
Co-Founder of Etiqmedia,Outras,Outros,CAR012
CTO Chief Technology officer,TI,C-Level/Diretoria,CAR013
Head of Customer Services,Outras,C-Level/Diretoria,CAR014
Consultant Erp,Outras,Consultoria,CAR015
Head of Technology & Innovation,TI,C-Level/Diretoria,CAR016
Deputy Ciso,Outras,Outros,CAR017
Analista/Programador,Outras,Analista/Júnior,CAR018
Diretor De Tecnologia,Outras,C-Level/Diretoria,CAR019
System Aministrator,TI,Outros,CAR020
Dy Mgr - Compliance,Outras,Outros,CAR021
Manager - Compliance,Outras,Gerência,CAR022
Isms Manager,Outras,Gerência,CAR023
IT Manager,TI,Gerência,CAR024
Membro,Outras,Outros,CAR025
CTO (Chief Technology officer),TI,C-Level/Diretoria,CAR026
Clinical Research Associate,Outras,Outros,CAR027
Chief Technology officer,TI,C-Level/Diretoria,CAR028
Regional Manager,Outras,Gerência,CAR029
Project Director,Outras,C-Level/Diretoria,CAR030
Product Manager,Produto,Gerência,CAR031
Unternehmer,Outras,Outros,CAR032
Geschäftsführer,RH,Outros,CAR033
Managing Director,Outras,C-Level/Diretoria,CAR034
Business & Integration Arch Specialist,Outras,Coordenação/Especialista,CAR035
Global Business Transformation Manager International Health,Outras,Gerência,CAR036
Freelancer,Outras,Outros,CAR037
Expert Gouvernance De Données Chez Marlink,Outras,Outros,CAR038
Architecte Talend Chez Ca Immo,TI,Outros,CAR039
Managing Director / Chief Product & Technology officer (Cpo/CTO),TI,C-Level/Diretoria,CAR040
Technical Writer,TI,Outros,CAR041
Technical Compliance officer,TI,Outros,CAR042
Business Analyst,Outras,Analista/Júnior,CAR043
Business Development Management Cpq Saas,Comercial,Outros,CAR044
Member of The Management Board,Outras,Outros,CAR045
Engineering Resource Manager,TI,Gerência,CAR046
Business Development Manager,Comercial,Gerência,CAR047
CEO & Founder,Outras,C-Level/Diretoria,CAR048
Jefe Departamento,Outras,Outros,CAR049
Strategic Data Consultant,TI,Consultoria,CAR050
Business Architect,TI,Outros,CAR051
Teamlead Data Center Services Senior Security Engineer - Domain Services & Cloud Iam,TI,Gerência,CAR052
Board Member,Outras,Outros,CAR053
Interne IT Services / Produktmanager Endpoint Security,TI,Gerência,CAR054
IT-Manager,TI,Gerência,CAR055
IT-Services,TI,Outros,CAR056
Professor of Differents official MasterS Degree,Outras,Outros,CAR057
Compliance Line Manager,Outras,Gerência,CAR058
Co-Funder - Co-Owner,Outras,Outros,CAR059
Administrator - Cooperator,Outras,Outros,CAR060
IT-Administrator,TI,Outros,CAR061
Sap Certified Technical Consultant,TI,Consultoria,CAR062
Lead IT Systemadministrator,TI,Gerência,CAR063
Associé,Outras,Outros,CAR064
Software Architect,TI,Outros,CAR065
Senior Software Engineer,TI,Outros,CAR066
Research Assistant,Outras,Analista/Júnior,CAR067
Ausbilder,Dados,Outros,CAR068
Compliance Monitoring Manager,TI,Gerência,CAR069
Director of Engineering Ir Cockpit,TI,C-Level/Diretoria,CAR070
Head of Product and Technology,TI,C-Level/Diretoria,CAR071
Chief Information Security officer,TI,C-Level/Diretoria,CAR072
Technology Consultant,TI,Consultoria,CAR073
Senior Software Developer / Architect,TI,Outros,CAR074
Senior Developer,TI,Outros,CAR075
Prozess- & IT-Management,TI,Outros,CAR076
Consultant,Outras,Consultoria,CAR077
Chief Operating officer (Coo),Outras,C-Level/Diretoria,CAR078
Legal Compliance and Data Privacy Specialist,TI,Coordenação/Especialista,CAR079
Co-Fondateur,Outras,Outros,CAR080
Team Lead Iiot,Outras,Gerência,CAR081
Senior Project Lead,Outras,Gerência,CAR082
IT-Systemadministrator,TI,Outros,CAR083
Senior Information Security Specialist,TI,Coordenação/Especialista,CAR084
Responsable De Zone / Manager,Outras,Gerência,CAR085
Dev-Teamlead,Dados,Gerência,CAR086
Costume Designer,Produto,Outros,CAR087
Sales Associate,Comercial,Outros,CAR088
Product Compliance Specialist,Produto,Coordenação/Especialista,CAR089
Consultant Senior,Outras,Consultoria,CAR090
Esports Trader,Outras,Outros,CAR091
Ingénieur DEtude,Outras,Outros,CAR092
Product Owner Data (Cloud Infrastruture),TI,Outros,CAR093
Head of Risk Management and Compliance,Outras,C-Level/Diretoria,CAR094
Compliance officer,Outras,Outros,CAR095
