Geografia_ID,Cidade,Estado,Pais,Pais padronizado,Regiao Europa,Europa
GEO001,Vilnius,Vilnius,Lituania,Lithuania,Outros,Europa
GEO002,Berlin,Berlin,Alemanha,Germany,Europa Ocidental,Europa
GEO003,Gijón,Astúrias,Espanha,Spain,Europa do Sul,Europa
GEO004,Warrington,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO005,Munich,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO006,London,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO007,Ílhavo,Aveiro,Portugal,Portugal,Europa do Sul,Europa
GEO008,Paris,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO009,Munich,,Bavaria,Germany,Europa Ocidental,Europa
GEO010,Barcelona,Catalunha,Espanha,Spain,Europa do Sul,Europa
GEO011,Cracow,Pequena Polônia,Polonia,Poland,Leste Europeu,Europa
GEO012,Wrocław,Baixa Silésia,Polonia,Poland,Leste Europeu,Europa
GEO013,Courbevoie,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO014,Greater London,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO015,Zaragoza,,Aragon,Spain,Europa do Sul,Europa
GEO016,Germany,,Germany,Germany,Europa Ocidental,Europa
GEO017,Gdańsk,Pomerânia,Polonia,Poland,Leste Europeu,Europa
GEO018,Nuremberg,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO019,Boulogne-Billancourt,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO020,Shipley,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO021,Gaimersheim,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO022,La Cresse,Occitanie,Franca,France,Europa Ocidental,Europa
GEO023,Levallois-Perret,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO024,Dublin,County Dublin,Irlanda,Ireland,Norte da Europa (Ilhas),Europa
GEO025,Markdorf,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO026,Grandes,Castilla And Leon,Espanha,Spain,Europa do Sul,Europa
GEO027,Coimbra,Coimbra,Portugal,Portugal,Europa do Sul,Europa
GEO028,Edinburgh,Scotland,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO029,Nordhausen,Thuringia,Alemanha,Germany,Europa Ocidental,Europa
GEO030,Aix-En-Provence,Provence-Alpes-Côte D'Azur,Franca,France,Europa Ocidental,Europa
GEO031,Boppard,Rhineland-Palatinate,Alemanha,Germany,Europa Ocidental,Europa
GEO032,Bouguenais,Pays De La Loire,Franca,France,Europa Ocidental,Europa
GEO033,Agudos,São Paulo,Brasil,Brazil,Outros,Outros
GEO034,Bergkirchen,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO035,Kontich,Flemish Region,Belgica,Belgium,Europa Ocidental,Europa
GEO036,Rostock,,Mecklenburg-West Pomerania,Germany,Europa Ocidental,Europa
GEO037,Paramus,New Jersey,United States,United States,Outros,Outros
GEO038,Oria,Andalusia,Espanha,Spain,Europa do Sul,Europa
GEO039,Garching,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO040,Pola De Siero,Astúrias,Espanha,Spain,Europa do Sul,Europa
GEO041,Emsdetten,,NRW,Não é um país.,Outros,Outros
GEO042,Oxford,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO043,Dublin 2,County Dublin,Irlanda,Ireland,Norte da Europa (Ilhas),Europa
GEO044,Unterföhring,,Bavaria,Germany,Europa Ocidental,Europa
GEO045,Singapore,,Singapore,Singapore,Outros,Outros
GEO046,Weiterstadt,Hessen,Alemanha,Germany,Europa Ocidental,Europa
GEO047,,,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO048,Seattle,Washington,United States,United States,Outros,Outros
GEO049,Frankfurt Am Main,Hessen,Alemanha,Germany,Europa Ocidental,Europa
GEO050,St.-Denis,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO051,Lyon,Auvergne-Rhône-Alpes,Franca,France,Europa Ocidental,Europa
GEO052,Bremen,Bremen,Alemanha,Germany,Europa Ocidental,Europa
GEO053,Leipzig,Saxony,Alemanha,Germany,Europa Ocidental,Europa
GEO054,Derby,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO055,Föhren,Rhineland-Palatinate,Alemanha,Germany,Europa Ocidental,Europa
GEO056,Brussels,Brussels Region,Belgica,Belgium,Europa Ocidental,Europa
GEO057,Girona,Catalunha,Espanha,Spain,Europa do Sul,Europa
GEO058,Frankfurt,Hessen,Alemanha,Germany,Europa Ocidental,Europa
GEO059,San Roque,Andalusia,Espanha,Spain,Europa do Sul,Europa
GEO060,Düsseldorf,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO061,Antwerp,Flemish Region,Belgica,Belgium,Europa Ocidental,Europa
GEO062,Dorking,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO063,Coblenz,Rhineland-Palatinate,Alemanha,Germany,Europa Ocidental,Europa
GEO064,Partenheim,Rhineland-Palatinate,Alemanha,Germany,Europa Ocidental,Europa
GEO065,Würzburg,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO066,Warsaw,Mazowieckie,Polonia,Poland,Leste Europeu,Europa
GEO067,Münster,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO068,Ottignies,Walloon Region,Belgica,Belgium,Europa Ocidental,Europa
GEO069,Toulouse,Occitanie,Franca,France,Europa Ocidental,Europa
GEO070,Labretonie,Nouvelle-Aquitaine,Franca,France,Europa Ocidental,Europa
GEO071,Alcobendas,Comunidade De Madrid,Espanha,Spain,Europa do Sul,Europa
GEO072,Logroño,Autonomía De La Rioja,Espanha,Spain,Europa do Sul,Europa
GEO073,Valencia/València,,Comunidad Valenciana / Comunitat Valenciana,Valencia,Outros,Outros
GEO074,Bonn,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO075,Sant Cugat Del Vallès,Catalunha,Espanha,Spain,Europa do Sul,Europa
GEO076,Solihull,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO077,Mons,Walloon Region,Belgica,Belgium,Europa Ocidental,Europa
GEO078,Bochum,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO079,Dunsden Green,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO080,Montreuil,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO081,Poland,,Singapore,Singapore,Outros,Outros
GEO082,Clichy,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO083,New York,New York,United States,United States,Outros,Outros
GEO084,Cerdanyola Del Vallès,Catalunha,Espanha,Spain,Europa do Sul,Europa
GEO085,Newcastle Upon Tyne,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO086,Galway,County Galway,Irlanda,Ireland,Norte da Europa (Ilhas),Europa
GEO087,Hamburg,Hamburg,Alemanha,Germany,Europa Ocidental,Europa
GEO088,9 Sherwood Rd,,Po Box 342,Não é um país,Outros,Outros
GEO089,Osnabrück,,Deutschland,Germany,Europa Ocidental,Europa
GEO090,Schwalbach,Hessen,Alemanha,Germany,Europa Ocidental,Europa
GEO091,Stuttgart,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO092,Kilmainhamwood,County Meath,Irlanda,Ireland,Norte da Europa (Ilhas),Europa
GEO093,Böblingen,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO094,Mainz,Rhineland-Palatinate,Alemanha,Germany,Europa Ocidental,Europa
GEO095,Essen,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO096,Griesheim,Hessen,Alemanha,Germany,Europa Ocidental,Europa
GEO097,Bovenden,Lower Saxony,Alemanha,Germany,Europa Ocidental,Europa
GEO098,Tallinn,Harjumaa,Estonia,Estonia,Outros,Europa
GEO099,Sindelfingen,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO100,Tübingen,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO101,Flensburg,Schleswig-Holstein,Alemanha,Germany,Europa Ocidental,Europa
GEO102,Waldorf,Rhineland-Palatinate,Alemanha,Germany,Europa Ocidental,Europa
GEO103,Malakoff,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO104,Germering,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO105,France,,Franca,France,Europa Ocidental,Europa
GEO106,Issy-Les-Moulineaux,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO107,Roubaix,Hauts-De-France,Franca,France,Europa Ocidental,Europa
GEO108,Mannheim,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO109,Tiverton,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO110,Chicago,Illinois,United States,United States,Outros,Outros
GEO111,Schöneck,Saxony,Alemanha,Germany,Europa Ocidental,Europa
GEO112,Prescot,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO113,Wigan,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO114,Karlsruhe,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO115,Birmingham,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO116,Harrow,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO117,Marquette-Lez-Lille,Hauts-De-France,Franca,France,Europa Ocidental,Europa
GEO118,Aachen,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO119,,,,,Outros,Outros
GEO120,Chemnitz,Saxony,Alemanha,Germany,Europa Ocidental,Europa
GEO121,Cork,County Cork,Irlanda,Ireland,Norte da Europa (Ilhas),Europa
GEO122,Irvine,California,United States,United States,Outros,Outros
GEO123,Vannes,Brittany,Franca,France,Europa Ocidental,Europa
GEO124,Cologne,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO125,Belgium,,Belgium,Belgium,Europa Ocidental,Europa
GEO126,Beauvais,Hauts-De-France,Franca,France,Europa Ocidental,Europa
GEO127,Whittington,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO128,Le Puy,Auvergne-Rhône-Alpes,Franca,France,Europa Ocidental,Europa
GEO129,Kiel,Schleswig-Holstein,Alemanha,Germany,Europa Ocidental,Europa
GEO130,Heilbronn,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO131,Canton Of Cesson-Sévigné,Brittany,Franca,France,Europa Ocidental,Europa
GEO132,Limoges-Fourches,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO133,Netherlands,,France,France,Europa Ocidental,Europa
GEO134,Maidenhead,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO135,Łódź,Łódzkie,Polonia,Poland,Leste Europeu,Europa
GEO136,Las Rozas De Madrid,Comunidade De Madrid,Espanha,Spain,Europa do Sul,Europa
GEO137,Leioa,Basque Country,Espanha,Spain,Europa do Sul,Europa
GEO138,,,Portugal,Portugal,Europa do Sul,Europa
GEO139,Augsburg,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO140,England,,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO141,Weeford,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO142,Lisbon,Lisboa,Portugal,Portugal,Europa do Sul,Europa
GEO143,Gentilly,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO144,Ghent,Flemish Region,Belgica,Belgium,Europa Ocidental,Europa
GEO145,County Dublin,,Irlanda,Ireland,Norte da Europa (Ilhas),Europa
GEO146,Dublin 1,County Dublin,Irlanda,Ireland,Norte da Europa (Ilhas),Europa
GEO147,Neuilly-Sur-Seine,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO148,Rueil-Malmaison,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO149,Saue,Harjumaa,Estonia,Estonia,Outros,Europa
GEO150,Heidelberg,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO151,Blackfriars,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO152,Noisy-Le-Grand,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO153,New Brunswick,New Jersey,United States,United States,Outros,Outros
GEO154,Winfrith Newburgh,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO155,Heitersheim,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO156,Meyrin,Geneva,Suica,Switzerland,Outros,Europa
GEO157,United Kingdom,,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO158,Hagen,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO159,Nuremberg,,Bavaria,Germany,Europa Ocidental,Europa
GEO160,Ebermannsdorf,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO161,Passau,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO162,St.-Maurice,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO163,Hasselt,Flemish Region,Belgica,Belgium,Europa Ocidental,Europa
GEO164,Rheinbach,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO165,Eschborn,Hessen,Alemanha,Germany,Europa Ocidental,Europa
GEO166,Sulzemoos,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO167,Osnabrück,Lower Saxony,Alemanha,Germany,Europa Ocidental,Europa
GEO168,12 Global Locations,,Worldwide,Não é um país,Outros,Outros
GEO169,Málaga,Andalusia,Espanha,Spain,Europa do Sul,Europa
GEO170,Madrid Y Alrededores,,Espana,Spain,Europa do Sul,Europa
