"Name","Fulladdress","Street","Municipality","Phone","Phones","Website","Domain"
"Ginásio VivaGym Trindade","Centro Comercial, Rua da Trindade, 4000-354 Porto","Centro Comercial","Rua da Trindade",,"","https://www.vivagym.pt/gimnasios/trindade?utm_source=google&utm_medium=organic&utm_campaign=gmb-trindade-vivagym","vivagym.pt"
"CR7 Fitness by Crunch Prelada","R. Teodoro Sousa Maldonado 151, 4250-486 Porto","R. Teodoro Sousa Maldonado 151","4250-486 Porto","912 751 704","912 751 704, +351 912 751 704","https://pages.cr7fitnesscrunch.com/6eve7g99/precarioprelada","pages.cr7fitnesscrunch.com"
"Breathe Sport Fitness","Estr. da Circunvalação 15687, 4100-183 Porto","Estr. da Circunvalação 15687","4100-183 Porto","22 938 2504","22 938 2504, +351 22 938 2504","http://breathe.pt/","breathe.pt"
"SQUAD Porto","R. da Boavista 410, 4050-103 Porto","R. da Boavista 410","4050-103 Porto","915 265 350","915 265 350, +351 915 265 350","http://www.squadporto.com/","squadporto.com"
"One2One - Private Fitness Studio (Personal Trainer Porto, Boavista, Arrábida, Antas, Constituição, Foz, Maia, Gaia, São João)","Rua da Alegria 1960, 4200-024 Porto","Rua da Alegria 1960","4200-024 Porto","914 370 762","914 370 762, +351 914 370 762","https://www.one2one.pt/","one2one.pt"
"MG Fitness Studio Antas","Av. de Fernão de Magalhães 2019, 4350-162 Porto","Av. de Fernão de Magalhães 2019","4350-162 Porto","937 545 858","937 545 858, +351 937 545 858","https://www.mgfitnesstudio.com/","mgfitnesstudio.com"
"Studio Fitness Absoluto & Jiu Jitsu","R. das Condominhas 708, 4150-221 Porto","R. das Condominhas 708","4150-221 Porto","934 624 841","934 624 841, +351 934 624 841","https://studioabsoluto.pt/","studioabsoluto.pt"
"VivaGym","Shopping, R. de Gonçalo Sampaio 350 piso 2, 4150-365 Porto","Shopping","R. de Gonçalo Sampaio 350 piso 2",,"","https://www.vivagym.pt/gimnasios/shopping-cidade-do-porto?utm_source=google&utm_medium=organic&utm_campaign=gmb-shopping-cidade-do-porto-vivagym","vivagym.pt"
"CT UNBROKEN oldschool *Novo Ginásio*","Rua de Costa Cabral 1092, 4200-123 Porto","Rua de Costa Cabral 1092","4200-123 Porto","931 700 378","931 700 378, +351 931 700 378",,
"Ginásio PHIVE PORTO","Av. da França 132, 4050-276 Porto","Av. da França 132","4050-276 Porto","300 505 180","300 505 180, +351 300 505 180","https://phive.pt/","phive.pt"
