Usuário - redes sociais,URLs_Separadas,URLs_Padronizadas,LinkedIn_Usernames,Redes_Sociais_Classificadas,LinkedIn_Principal,Outras_Redes_Sociais,URLs_Validas,Rede_Social_Principal
https://www.linkedin.com/in/alex-kolyago,['https://www.linkedin.com/in/alex-kolyago'],['https://linkedin.com/in/alex-kolyago'],['alex-kolyago'],{'linkedin': ['https://linkedin.com/in/alex-kolyago']},https://linkedin.com/in/alex-kolyago,[],['https://linkedin.com/in/alex-kolyago'],https://linkedin.com/in/alex-kolyago
https://www.linkedin.com/in/patrick-frenzel-225642178,['https://www.linkedin.com/in/patrick-frenzel-225642178'],['https://linkedin.com/in/patrick-frenzel-225642178'],['patrick-frenzel-225642178'],{'linkedin': ['https://linkedin.com/in/patrick-frenzel-225642178']},https://linkedin.com/in/patrick-frenzel-225642178,[],['https://linkedin.com/in/patrick-frenzel-225642178'],https://linkedin.com/in/patrick-frenzel-225642178
https://www.linkedin.com/in/artemio-cienfuegos-76882563,['https://www.linkedin.com/in/artemio-cienfuegos-76882563'],['https://linkedin.com/in/artemio-cienfuegos-76882563'],['artemio-cienfuegos-76882563'],{'linkedin': ['https://linkedin.com/in/artemio-cienfuegos-76882563']},https://linkedin.com/in/artemio-cienfuegos-76882563,[],['https://linkedin.com/in/artemio-cienfuegos-76882563'],https://linkedin.com/in/artemio-cienfuegos-76882563
https://www.linkedin.com/in/busrayatlav,['https://www.linkedin.com/in/busrayatlav'],['https://linkedin.com/in/busrayatlav'],['busrayatlav'],{'linkedin': ['https://linkedin.com/in/busrayatlav']},https://linkedin.com/in/busrayatlav,[],['https://linkedin.com/in/busrayatlav'],https://linkedin.com/in/busrayatlav
https://www.linkedin.com/in/busrayatlav,['https://www.linkedin.com/in/busrayatlav'],['https://linkedin.com/in/busrayatlav'],['busrayatlav'],{'linkedin': ['https://linkedin.com/in/busrayatlav']},https://linkedin.com/in/busrayatlav,[],['https://linkedin.com/in/busrayatlav'],https://linkedin.com/in/busrayatlav
https://www.linkedin.com/in/liam-binns-70a4471a5,['https://www.linkedin.com/in/liam-binns-70a4471a5'],['https://linkedin.com/in/liam-binns-70a4471a5'],['liam-binns-70a4471a5'],{'linkedin': ['https://linkedin.com/in/liam-binns-70a4471a5']},https://linkedin.com/in/liam-binns-70a4471a5,[],['https://linkedin.com/in/liam-binns-70a4471a5'],https://linkedin.com/in/liam-binns-70a4471a5
https://www.linkedin.com/in/ismail-adiyaman-537a141a4,['https://www.linkedin.com/in/ismail-adiyaman-537a141a4'],['https://linkedin.com/in/ismail-adiyaman-537a141a4'],['ismail-adiyaman-537a141a4'],{'linkedin': ['https://linkedin.com/in/ismail-adiyaman-537a141a4']},https://linkedin.com/in/ismail-adiyaman-537a141a4,[],['https://linkedin.com/in/ismail-adiyaman-537a141a4'],https://linkedin.com/in/ismail-adiyaman-537a141a4
https://www.linkedin.com/in/martinmiceli,['https://www.linkedin.com/in/martinmiceli'],['https://linkedin.com/in/martinmiceli'],['martinmiceli'],{'linkedin': ['https://linkedin.com/in/martinmiceli']},https://linkedin.com/in/martinmiceli,[],['https://linkedin.com/in/martinmiceli'],https://linkedin.com/in/martinmiceli
https://www.linkedin.com/in/luís-pinto-434b9194,['https://www.linkedin.com/in/luís-pinto-434b9194'],['https://linkedin.com/in/luís-pinto-434b9194'],['luís-pinto-434b9194'],{'linkedin': ['https://linkedin.com/in/luís-pinto-434b9194']},https://linkedin.com/in/luís-pinto-434b9194,[],['https://linkedin.com/in/luís-pinto-434b9194'],https://linkedin.com/in/luís-pinto-434b9194
https://www.linkedin.com/in/luís-pinto-434b9194,['https://www.linkedin.com/in/luís-pinto-434b9194'],['https://linkedin.com/in/luís-pinto-434b9194'],['luís-pinto-434b9194'],{'linkedin': ['https://linkedin.com/in/luís-pinto-434b9194']},https://linkedin.com/in/luís-pinto-434b9194,[],['https://linkedin.com/in/luís-pinto-434b9194'],https://linkedin.com/in/luís-pinto-434b9194
https://www.linkedin.com/in/habib-d-22346970,['https://www.linkedin.com/in/habib-d-22346970'],['https://linkedin.com/in/habib-d-22346970'],['habib-d-22346970'],{'linkedin': ['https://linkedin.com/in/habib-d-22346970']},https://linkedin.com/in/habib-d-22346970,[],['https://linkedin.com/in/habib-d-22346970'],https://linkedin.com/in/habib-d-22346970
https://www.linkedin.com/in/alirezarezvani,['https://www.linkedin.com/in/alirezarezvani'],['https://linkedin.com/in/alirezarezvani'],['alirezarezvani'],{'linkedin': ['https://linkedin.com/in/alirezarezvani']},https://linkedin.com/in/alirezarezvani,[],['https://linkedin.com/in/alirezarezvani'],https://linkedin.com/in/alirezarezvani
https://www.linkedin.com/in/tomharman1,['https://www.linkedin.com/in/tomharman1'],['https://linkedin.com/in/tomharman1'],['tomharman1'],{'linkedin': ['https://linkedin.com/in/tomharman1']},https://linkedin.com/in/tomharman1,[],['https://linkedin.com/in/tomharman1'],https://linkedin.com/in/tomharman1
https://www.linkedin.com/in/dayte,['https://www.linkedin.com/in/dayte'],['https://linkedin.com/in/dayte'],['dayte'],{'linkedin': ['https://linkedin.com/in/dayte']},https://linkedin.com/in/dayte,[],['https://linkedin.com/in/dayte'],https://linkedin.com/in/dayte
https://www.linkedin.com/in/leopold-ricard,['https://www.linkedin.com/in/leopold-ricard'],['https://linkedin.com/in/leopold-ricard'],['leopold-ricard'],{'linkedin': ['https://linkedin.com/in/leopold-ricard']},https://linkedin.com/in/leopold-ricard,[],['https://linkedin.com/in/leopold-ricard'],https://linkedin.com/in/leopold-ricard
https://www.linkedin.com/in/magdalena-limanowka,['https://www.linkedin.com/in/magdalena-limanowka'],['https://linkedin.com/in/magdalena-limanowka'],['magdalena-limanowka'],{'linkedin': ['https://linkedin.com/in/magdalena-limanowka']},https://linkedin.com/in/magdalena-limanowka,[],['https://linkedin.com/in/magdalena-limanowka'],https://linkedin.com/in/magdalena-limanowka
https://www.linkedin.com/in/yanis-aït-bachir-507333172,['https://www.linkedin.com/in/yanis-aït-bachir-507333172'],['https://linkedin.com/in/yanis-aït-bachir-507333172'],['yanis-aït-bachir-507333172'],{'linkedin': ['https://linkedin.com/in/yanis-aït-bachir-507333172']},https://linkedin.com/in/yanis-aït-bachir-507333172,[],['https://linkedin.com/in/yanis-aït-bachir-507333172'],https://linkedin.com/in/yanis-aït-bachir-507333172
"https://www.linkedin.com/in/michal-zielonka-majka, http://vh.pl","['https://www.linkedin.com/in/michal-zielonka-majka', 'http://vh.pl']","['https://linkedin.com/in/michal-zielonka-majka', 'https://vh.pl']",['michal-zielonka-majka'],"{'linkedin': ['https://linkedin.com/in/michal-zielonka-majka'], 'outras': ['https://vh.pl']}",https://linkedin.com/in/michal-zielonka-majka,['https://vh.pl'],['https://linkedin.com/in/michal-zielonka-majka'],https://linkedin.com/in/michal-zielonka-majka
https://www.linkedin.com/in/ludovic-platon-b0b165a9,['https://www.linkedin.com/in/ludovic-platon-b0b165a9'],['https://linkedin.com/in/ludovic-platon-b0b165a9'],['ludovic-platon-b0b165a9'],{'linkedin': ['https://linkedin.com/in/ludovic-platon-b0b165a9']},https://linkedin.com/in/ludovic-platon-b0b165a9,[],['https://linkedin.com/in/ludovic-platon-b0b165a9'],https://linkedin.com/in/ludovic-platon-b0b165a9
https://www.linkedin.com/in/ludovic-platon-b0b165a9,['https://www.linkedin.com/in/ludovic-platon-b0b165a9'],['https://linkedin.com/in/ludovic-platon-b0b165a9'],['ludovic-platon-b0b165a9'],{'linkedin': ['https://linkedin.com/in/ludovic-platon-b0b165a9']},https://linkedin.com/in/ludovic-platon-b0b165a9,[],['https://linkedin.com/in/ludovic-platon-b0b165a9'],https://linkedin.com/in/ludovic-platon-b0b165a9
https://www.linkedin.com/in/ludovic-platon-b0b165a9,['https://www.linkedin.com/in/ludovic-platon-b0b165a9'],['https://linkedin.com/in/ludovic-platon-b0b165a9'],['ludovic-platon-b0b165a9'],{'linkedin': ['https://linkedin.com/in/ludovic-platon-b0b165a9']},https://linkedin.com/in/ludovic-platon-b0b165a9,[],['https://linkedin.com/in/ludovic-platon-b0b165a9'],https://linkedin.com/in/ludovic-platon-b0b165a9
https://www.linkedin.com/in/julien-laval-jacquin-ph-d-60716390,['https://www.linkedin.com/in/julien-laval-jacquin-ph-d-60716390'],['https://linkedin.com/in/julien-laval-jacquin-ph-d-60716390'],['julien-laval-jacquin-ph-d-60716390'],{'linkedin': ['https://linkedin.com/in/julien-laval-jacquin-ph-d-60716390']},https://linkedin.com/in/julien-laval-jacquin-ph-d-60716390,[],['https://linkedin.com/in/julien-laval-jacquin-ph-d-60716390'],https://linkedin.com/in/julien-laval-jacquin-ph-d-60716390
https://www.linkedin.com/in/marclittlefair,['https://www.linkedin.com/in/marclittlefair'],['https://linkedin.com/in/marclittlefair'],['marclittlefair'],{'linkedin': ['https://linkedin.com/in/marclittlefair']},https://linkedin.com/in/marclittlefair,[],['https://linkedin.com/in/marclittlefair'],https://linkedin.com/in/marclittlefair
https://www.linkedin.com/in/richard-d-rosenberg,['https://www.linkedin.com/in/richard-d-rosenberg'],['https://linkedin.com/in/richard-d-rosenberg'],['richard-d-rosenberg'],{'linkedin': ['https://linkedin.com/in/richard-d-rosenberg']},https://linkedin.com/in/richard-d-rosenberg,[],['https://linkedin.com/in/richard-d-rosenberg'],https://linkedin.com/in/richard-d-rosenberg
https://www.linkedin.com/in/richard-d-rosenberg,['https://www.linkedin.com/in/richard-d-rosenberg'],['https://linkedin.com/in/richard-d-rosenberg'],['richard-d-rosenberg'],{'linkedin': ['https://linkedin.com/in/richard-d-rosenberg']},https://linkedin.com/in/richard-d-rosenberg,[],['https://linkedin.com/in/richard-d-rosenberg'],https://linkedin.com/in/richard-d-rosenberg
,[],[],[],{},,[],[],
,[],[],[],{},,[],[],
https://www.linkedin.com/in/agne-navikiene-9616081b0,['https://www.linkedin.com/in/agne-navikiene-9616081b0'],['https://linkedin.com/in/agne-navikiene-9616081b0'],['agne-navikiene-9616081b0'],{'linkedin': ['https://linkedin.com/in/agne-navikiene-9616081b0']},https://linkedin.com/in/agne-navikiene-9616081b0,[],['https://linkedin.com/in/agne-navikiene-9616081b0'],https://linkedin.com/in/agne-navikiene-9616081b0
https://www.linkedin.com/in/agne-navikiene-9616081b0,['https://www.linkedin.com/in/agne-navikiene-9616081b0'],['https://linkedin.com/in/agne-navikiene-9616081b0'],['agne-navikiene-9616081b0'],{'linkedin': ['https://linkedin.com/in/agne-navikiene-9616081b0']},https://linkedin.com/in/agne-navikiene-9616081b0,[],['https://linkedin.com/in/agne-navikiene-9616081b0'],https://linkedin.com/in/agne-navikiene-9616081b0
https://www.linkedin.com/in/laura--matthews,['https://www.linkedin.com/in/laura--matthews'],['https://linkedin.com/in/laura--matthews'],['laura--matthews'],{'linkedin': ['https://linkedin.com/in/laura--matthews']},https://linkedin.com/in/laura--matthews,[],['https://linkedin.com/in/laura--matthews'],https://linkedin.com/in/laura--matthews
,[],[],[],{},,[],[],
https://www.linkedin.com/in/christian-masiak-9b4b47159,['https://www.linkedin.com/in/christian-masiak-9b4b47159'],['https://linkedin.com/in/christian-masiak-9b4b47159'],['christian-masiak-9b4b47159'],{'linkedin': ['https://linkedin.com/in/christian-masiak-9b4b47159']},https://linkedin.com/in/christian-masiak-9b4b47159,[],['https://linkedin.com/in/christian-masiak-9b4b47159'],https://linkedin.com/in/christian-masiak-9b4b47159
https://www.linkedin.com/in/christian-masiak-9b4b47159,['https://www.linkedin.com/in/christian-masiak-9b4b47159'],['https://linkedin.com/in/christian-masiak-9b4b47159'],['christian-masiak-9b4b47159'],{'linkedin': ['https://linkedin.com/in/christian-masiak-9b4b47159']},https://linkedin.com/in/christian-masiak-9b4b47159,[],['https://linkedin.com/in/christian-masiak-9b4b47159'],https://linkedin.com/in/christian-masiak-9b4b47159
https://www.linkedin.com/in/christian-masiak-9b4b47159,['https://www.linkedin.com/in/christian-masiak-9b4b47159'],['https://linkedin.com/in/christian-masiak-9b4b47159'],['christian-masiak-9b4b47159'],{'linkedin': ['https://linkedin.com/in/christian-masiak-9b4b47159']},https://linkedin.com/in/christian-masiak-9b4b47159,[],['https://linkedin.com/in/christian-masiak-9b4b47159'],https://linkedin.com/in/christian-masiak-9b4b47159
https://www.linkedin.com/in/andre-markiewicz,['https://www.linkedin.com/in/andre-markiewicz'],['https://linkedin.com/in/andre-markiewicz'],['andre-markiewicz'],{'linkedin': ['https://linkedin.com/in/andre-markiewicz']},https://linkedin.com/in/andre-markiewicz,[],['https://linkedin.com/in/andre-markiewicz'],https://linkedin.com/in/andre-markiewicz
https://www.linkedin.com/in/helmut-ziegler-288b873b,['https://www.linkedin.com/in/helmut-ziegler-288b873b'],['https://linkedin.com/in/helmut-ziegler-288b873b'],['helmut-ziegler-288b873b'],{'linkedin': ['https://linkedin.com/in/helmut-ziegler-288b873b']},https://linkedin.com/in/helmut-ziegler-288b873b,[],['https://linkedin.com/in/helmut-ziegler-288b873b'],https://linkedin.com/in/helmut-ziegler-288b873b
https://www.linkedin.com/in/helmut-ziegler-288b873b,['https://www.linkedin.com/in/helmut-ziegler-288b873b'],['https://linkedin.com/in/helmut-ziegler-288b873b'],['helmut-ziegler-288b873b'],{'linkedin': ['https://linkedin.com/in/helmut-ziegler-288b873b']},https://linkedin.com/in/helmut-ziegler-288b873b,[],['https://linkedin.com/in/helmut-ziegler-288b873b'],https://linkedin.com/in/helmut-ziegler-288b873b
https://www.linkedin.com/in/matthew-darnell-5619468,['https://www.linkedin.com/in/matthew-darnell-5619468'],['https://linkedin.com/in/matthew-darnell-5619468'],['matthew-darnell-5619468'],{'linkedin': ['https://linkedin.com/in/matthew-darnell-5619468']},https://linkedin.com/in/matthew-darnell-5619468,[],['https://linkedin.com/in/matthew-darnell-5619468'],https://linkedin.com/in/matthew-darnell-5619468
