Localização,Formato_Localizacao,Pais_Localizacao,Consistencia_Pais_Completa,Problemas_Localizacao,Localização_Padronizada,Cidade_Padronizada,Estado_Padronizado,Pais_Localizacao_Padronizado,Consistencia_Validada
"Vilnius, Vilniaus, Lithuania","Cidade, Estado, País",Lithuania,Consistente,['OK'],"Vilnius, Vilniaus, Lithuania",Vilnius,Vilniaus,Lithuania,True
"Bonn, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Bonn, North Rhine-Westphalia, Germany",Bonn,North Rhine-Westphalia,Germany,True
"Mieres del Camino, Principality of Asturias, Spain","Cidade, Estado, País",Spain,Consistente,['OK'],"Mieres del Camino, Principality of Asturias, Spain",Mieres del Camino,Principality of Asturias,Spain,True
"Istanbul, Istanbul, Turkey","Cidade, Estado, País",Turkey,Apenas Localização tem país,['OK'],"Istanbul, Istanbul, Turkey",Istanbul,Istanbul,Turkey,True
"Istanbul, Istanbul, Turkey","Cidade, Estado, País",Turkey,Apenas Localização tem país,['OK'],"Istanbul, Istanbul, Turkey",Istanbul,Istanbul,Turkey,True
"Liverpool, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Liverpool, England, United Kingdom",Liverpool,England,United Kingdom,True
"Neufahrn bei Freising, Bavaria, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Neufahrn bei Freising, Bavaria, Germany",Neufahrn bei Freising,Bavaria,Germany,True
"Castelldefels, Catalonia, Spain","Cidade, Estado, País",Spain,Consistente,['OK'],"Castelldefels, Catalonia, Spain",Castelldefels,Catalonia,Spain,True
"Lisboa, Lisbon, Portugal","Cidade, Estado, País",Portugal,Consistente,['OK'],"Lisbon, Lisbon, Portugal",Lisbon,Lisbon,Portugal,True
"Lisboa, Lisbon, Portugal","Cidade, Estado, País",Portugal,Consistente,['OK'],"Lisbon, Lisbon, Portugal",Lisbon,Lisbon,Portugal,True
"Paris, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Paris, Ile-de-France, France",Paris,Ile-de-France,France,True
Germany,Apenas País,Germany,Consistente,['OK'],"Capital, Germany",Capital,,Germany,True
"Gloucester, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Gloucester, England, United Kingdom",Gloucester,England,United Kingdom,True
"Barcelona, Catalonia, Spain","Cidade, Estado, País",Spain,Apenas Localização tem país,['OK'],"Barcelona, Catalonia, Spain",Barcelona,Catalonia,Spain,True
"Paris, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Paris, Ile-de-France, France",Paris,Ile-de-France,France,True
"Krzeszowice, Małopolskie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Krzeszowice, Małopolskie, Poland",Krzeszowice,Małopolskie,Poland,True
"Paris, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Paris, Ile-de-France, France",Paris,Ile-de-France,France,True
"Gdynia, Pomorskie, Poland","Cidade, Estado, País",Poland,Apenas Localização tem país,['OK'],"Gdynia, Pomorskie, Poland",Gdynia,Pomorskie,Poland,True
"Auneau, Centre-Val de Loire, France","Cidade, Estado, País",France,Consistente,['OK'],"Auneau, Centre-Val de Loire, France",Auneau,Centre-Val de Loire,France,True
"Auneau, Centre-Val de Loire, France","Cidade, Estado, País",France,Consistente,['OK'],"Auneau, Centre-Val de Loire, France",Auneau,Centre-Val de Loire,France,True
"Auneau, Centre-Val de Loire, France","Cidade, Estado, País",France,Consistente,['OK'],"Auneau, Centre-Val de Loire, France",Auneau,Centre-Val de Loire,France,True
Greater Toulouse Metropolitan Area,Apenas País,Greater Toulouse Metropolitan Area,Apenas Localização tem país,['OK'],Greater Toulouse Metropolitan Area,,,Greater Toulouse Metropolitan Area,True
"Basingstoke, England, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"Basingstoke, England, United Kingdom",Basingstoke,England,United Kingdom,True
"London, England, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"London, England, United Kingdom",London,England,United Kingdom,True
"London, England, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"London, England, United Kingdom",London,England,United Kingdom,True
"Zaragoza, Aragon, Spain","Cidade, Estado, País",Spain,Apenas Localização tem país,['OK'],"Zaragoza, Aragon, Spain",Zaragoza,Aragon,Spain,True
"Zaragoza, Aragon, Spain","Cidade, Estado, País",Spain,Apenas Localização tem país,['OK'],"Zaragoza, Aragon, Spain",Zaragoza,Aragon,Spain,True
"Vilnius, Vilniaus, Lithuania","Cidade, Estado, País",Lithuania,Apenas Localização tem país,['OK'],"Vilnius, Vilniaus, Lithuania",Vilnius,Vilniaus,Lithuania,True
"Vilnius, Vilniaus, Lithuania","Cidade, Estado, País",Lithuania,Apenas Localização tem país,['OK'],"Vilnius, Vilniaus, Lithuania",Vilnius,Vilniaus,Lithuania,True
"Liverpool Street, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Liverpool Street, England, United Kingdom",Liverpool Street,England,United Kingdom,True
Greater Barcelona Metropolitan Area,Apenas País,Greater Barcelona Metropolitan Area,Apenas Localização tem país,['OK'],"Barcelona, Catalonia, Spain",Barcelona,Catalonia,Spain,True
"Saarbrücken, Saarland, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Saarbrücken, Saarland, Germany",Saarbrücken,Saarland,Germany,True
"Saarbrücken, Saarland, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Saarbrücken, Saarland, Germany",Saarbrücken,Saarland,Germany,True
"Saarbrücken, Saarland, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Saarbrücken, Saarland, Germany",Saarbrücken,Saarland,Germany,True
"Gdynia, Pomorskie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Gdynia, Pomorskie, Poland",Gdynia,Pomorskie,Poland,True
Greater Nuremberg Metropolitan Area,Apenas País,Greater Nuremberg Metropolitan Area,Inconsistente,['OK'],"Nuremberg, Bavaria, Germany",Nuremberg,Bavaria,Germany,False
Greater Nuremberg Metropolitan Area,Apenas País,Greater Nuremberg Metropolitan Area,Inconsistente,['OK'],"Nuremberg, Bavaria, Germany",Nuremberg,Bavaria,Germany,False
"Cronton, England, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"Cronton, England, United Kingdom",Cronton,England,United Kingdom,True
"Chorley, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Chorley, England, United Kingdom",Chorley,England,United Kingdom,True
"Chafford Hundred, England, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"Chafford Hundred, England, United Kingdom",Chafford Hundred,England,United Kingdom,True
"Ingolstadt, Bavaria, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Ingolstadt, Bavaria, Germany",Ingolstadt,Bavaria,Germany,True
"Ingolstadt, Bavaria, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Ingolstadt, Bavaria, Germany",Ingolstadt,Bavaria,Germany,True
"Ubá, Minas Gerais, Brazil","Cidade, Estado, País",Brazil,Consistente,['OK'],"Ubá, Minas Gerais, Brazil",Ubá,Minas Gerais,Brazil,True
"Ubá, Minas Gerais, Brazil","Cidade, Estado, País",Brazil,Consistente,['OK'],"Ubá, Minas Gerais, Brazil",Ubá,Minas Gerais,Brazil,True
Israel,Apenas País,Israel,Apenas Localização tem país,['OK'],Israel,,,Israel,True
Israel,Apenas País,Israel,Apenas Localização tem país,['OK'],Israel,,,Israel,True
Israel,Apenas País,Israel,Apenas Localização tem país,['OK'],Israel,,,Israel,True
"Baduria, West Bengal, India","Cidade, Estado, País",India,Apenas Localização tem país,['OK'],"Baduria, West Bengal, India",Baduria,West Bengal,India,True
"Baduria, West Bengal, India","Cidade, Estado, País",India,Apenas Localização tem país,['OK'],"Baduria, West Bengal, India",Baduria,West Bengal,India,True
