Setor,Problemas_Setor,Granularidade_Setor,Setor_Padronizado,Nivel_Detalhe_Setor,Setor_Inferido,Setor_Final
Mobile Games,['OK'],Adequado,Mobile Games,Genérico,Mobile Games,Mobile Games
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Telecommunications,['OK'],Muito genérico,Telecom - Geral,Específico,Telecom - Geral,Telecom - Geral
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Insurance,['OK'],Muito genérico,Financeiro - Seguros,Específico,Financeiro - Seguros,Financeiro - Seguros
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Pharmaceuticals,['OK'],Muito genérico,Saúde - Farmacêutico,Específico,Saúde - Farmacêutico,Saúde - Farmacêutico
Furniture,['OK'],Muito genérico,Furniture,Genérico,Furniture,Furniture
Internet,['OK'],Muito genérico,Digital - Plataformas Online,Específico,Digital - Plataformas Online,Digital - Plataformas Online
Internet,['OK'],Muito genérico,Digital - Plataformas Online,Específico,Digital - Plataformas Online,Digital - Plataformas Online
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Financial Services,['OK'],Adequado,Financeiro - Serviços,Específico,Financeiro - Serviços,Financeiro - Serviços
Financial Services,['OK'],Adequado,Financeiro - Serviços,Específico,Financeiro - Serviços,Financeiro - Serviços
Financial Services,['OK'],Adequado,Financeiro - Serviços,Específico,Financeiro - Serviços,Financeiro - Serviços
,['Vazio'],Vazio,Não Informado,Genérico,Setor Não Identificado,Setor Não Identificado
,['Vazio'],Vazio,Não Informado,Genérico,Setor Não Identificado,Setor Não Identificado
Gambling & Casinos,['OK'],Adequado,Gambling & Casinos,Específico,Gambling & Casinos,Gambling & Casinos
Gambling & Casinos,['OK'],Adequado,Gambling & Casinos,Específico,Gambling & Casinos,Gambling & Casinos
Staffing & Recruiting,['OK'],Adequado,Staffing & Recruiting,Específico,Staffing & Recruiting,Staffing & Recruiting
,['Vazio'],Vazio,Não Informado,Genérico,Tecnologia - Software,Tecnologia - Software
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Professional Training & Coaching,['OK'],Muito específico,Professional Training & Coaching,Específico,Professional Training & Coaching,Professional Training & Coaching
Automotive,['OK'],Muito genérico,Manufacturing - Automotivo,Específico,Manufacturing - Automotivo,Manufacturing - Automotivo
Automotive,['OK'],Muito genérico,Manufacturing - Automotivo,Específico,Manufacturing - Automotivo,Manufacturing - Automotivo
IT System Custom Software Development,['OK'],Muito específico,Tecnologia - Software Custom,Específico,Tecnologia - Software Custom,Tecnologia - Software Custom
IT System Custom Software Development,['OK'],Muito específico,Tecnologia - Software Custom,Específico,Tecnologia - Software Custom,Tecnologia - Software Custom
Media Production,['OK'],Adequado,Media Production,Genérico,Media Production,Media Production
Media Production,['OK'],Adequado,Media Production,Genérico,Media Production,Media Production
Media Production,['OK'],Adequado,Media Production,Genérico,Media Production,Media Production
Accounting,['OK'],Muito genérico,Accounting,Genérico,Accounting,Accounting
Accounting,['OK'],Muito genérico,Accounting,Genérico,Accounting,Accounting
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Internet,['OK'],Muito genérico,Digital - Plataformas Online,Específico,Digital - Plataformas Online,Digital - Plataformas Online
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Public Relations & Communications,['OK'],Muito específico,Public Relations & Communications,Específico,Public Relations & Communications,Public Relations & Communications
Public Relations & Communications,['OK'],Muito específico,Public Relations & Communications,Específico,Public Relations & Communications,Public Relations & Communications
Public Relations & Communications,['OK'],Muito específico,Public Relations & Communications,Específico,Public Relations & Communications,Public Relations & Communications
Public Relations & Communications,['OK'],Muito específico,Public Relations & Communications,Específico,Public Relations & Communications,Public Relations & Communications
Public Relations & Communications,['OK'],Muito específico,Public Relations & Communications,Específico,Public Relations & Communications,Public Relations & Communications
Public Relations & Communications,['OK'],Muito específico,Public Relations & Communications,Específico,Public Relations & Communications,Public Relations & Communications
Public Relations & Communications,['OK'],Muito específico,Public Relations & Communications,Específico,Public Relations & Communications,Public Relations & Communications
Data Infrastructure and Analytics,['OK'],Muito específico,Dados - Infraestrutura,Específico,Dados - Infraestrutura,Dados - Infraestrutura
Data Infrastructure and Analytics,['OK'],Muito específico,Dados - Infraestrutura,Específico,Dados - Infraestrutura,Dados - Infraestrutura
,['Vazio'],Vazio,Não Informado,Genérico,Setor Não Identificado,Setor Não Identificado
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Management Consulting,['OK'],Adequado,Consultoria - Gestão,Específico,Consultoria - Gestão,Consultoria - Gestão
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Oil & Energy,['OK'],Adequado,Oil & Energy,Específico,Oil & Energy,Oil & Energy
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Airlines/Aviation,['OK'],Muito genérico,Airlines/Aviation,Genérico,Airlines/Aviation,Airlines/Aviation
Airlines/Aviation,['OK'],Muito genérico,Airlines/Aviation,Genérico,Airlines/Aviation,Airlines/Aviation
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Research,['OK'],Muito genérico,Research,Genérico,Research,Research
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Human Resources,['OK'],Adequado,Human Resources,Genérico,Human Resources,Human Resources
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Internet,['OK'],Muito genérico,Digital - Plataformas Online,Específico,Digital - Plataformas Online,Digital - Plataformas Online
Internet,['OK'],Muito genérico,Digital - Plataformas Online,Específico,Digital - Plataformas Online,Digital - Plataformas Online
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Internet,['OK'],Muito genérico,Digital - Plataformas Online,Específico,Digital - Plataformas Online,Digital - Plataformas Online
Internet,['OK'],Muito genérico,Digital - Plataformas Online,Específico,Digital - Plataformas Online,Digital - Plataformas Online
Pharmaceuticals,['OK'],Muito genérico,Saúde - Farmacêutico,Específico,Saúde - Farmacêutico,Saúde - Farmacêutico
Marketing & Advertising,['OK'],Adequado,Marketing & Advertising,Específico,Marketing & Advertising,Marketing & Advertising
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Hospital & Health Care,['OK'],Muito específico,Hospital & Health Care,Específico,Hospital & Health Care,Hospital & Health Care
Hospital & Health Care,['OK'],Muito específico,Hospital & Health Care,Específico,Hospital & Health Care,Hospital & Health Care
Telecommunications,['OK'],Muito genérico,Telecom - Geral,Específico,Telecom - Geral,Telecom - Geral
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Internet,['OK'],Muito genérico,Digital - Plataformas Online,Específico,Digital - Plataformas Online,Digital - Plataformas Online
Internet,['OK'],Muito genérico,Digital - Plataformas Online,Específico,Digital - Plataformas Online,Digital - Plataformas Online
Internet,['OK'],Muito genérico,Digital - Plataformas Online,Específico,Digital - Plataformas Online,Digital - Plataformas Online
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Industrial Automation,['OK'],Adequado,Industrial Automation,Genérico,Industrial Automation,Industrial Automation
Industrial Automation,['OK'],Adequado,Industrial Automation,Genérico,Industrial Automation,Industrial Automation
,['Vazio'],Vazio,Não Informado,Genérico,Setor Não Identificado,Setor Não Identificado
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
,['Vazio'],Vazio,Não Informado,Genérico,Setor Não Identificado,Setor Não Identificado
,['Vazio'],Vazio,Não Informado,Genérico,Setor Não Identificado,Setor Não Identificado
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Gambling & Casinos,['OK'],Adequado,Gambling & Casinos,Específico,Gambling & Casinos,Gambling & Casinos
Financial Services,['OK'],Adequado,Financeiro - Serviços,Específico,Financeiro - Serviços,Financeiro - Serviços
Financial Services,['OK'],Adequado,Financeiro - Serviços,Específico,Financeiro - Serviços,Financeiro - Serviços
Financial Services,['OK'],Adequado,Financeiro - Serviços,Específico,Financeiro - Serviços,Financeiro - Serviços
Financial Services,['OK'],Adequado,Financeiro - Serviços,Específico,Financeiro - Serviços,Financeiro - Serviços
Financial Services,['OK'],Adequado,Financeiro - Serviços,Específico,Financeiro - Serviços,Financeiro - Serviços
Consumer Services,['OK'],Adequado,Consumer Services,Genérico,Consumer Services,Consumer Services
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Banking,['OK'],Muito genérico,Financeiro - Bancos,Específico,Financeiro - Bancos,Financeiro - Bancos
Program Development,['OK'],Adequado,Program Development,Genérico,Program Development,Program Development
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Internet,['OK'],Muito genérico,Digital - Plataformas Online,Específico,Digital - Plataformas Online,Digital - Plataformas Online
Internet,['OK'],Muito genérico,Digital - Plataformas Online,Específico,Digital - Plataformas Online,Digital - Plataformas Online
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Gambling & Casinos,['OK'],Adequado,Gambling & Casinos,Específico,Gambling & Casinos,Gambling & Casinos
Gambling & Casinos,['OK'],Adequado,Gambling & Casinos,Específico,Gambling & Casinos,Gambling & Casinos
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Legal Services,['OK'],Adequado,Legal Services,Genérico,Legal Services,Legal Services
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Financial Services,['OK'],Adequado,Financeiro - Serviços,Específico,Financeiro - Serviços,Financeiro - Serviços
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Consumer Goods,['OK'],Adequado,Consumer Goods,Genérico,Consumer Goods,Consumer Goods
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Banking,['OK'],Muito genérico,Financeiro - Bancos,Específico,Financeiro - Bancos,Financeiro - Bancos
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Accounting,['OK'],Muito genérico,Accounting,Genérico,Accounting,Accounting
Marketing Services,['OK'],Adequado,Marketing Services,Genérico,Marketing Services,Marketing Services
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Research,['OK'],Muito genérico,Research,Genérico,Research,Research
,['Vazio'],Vazio,Não Informado,Genérico,Dados - Analytics,Dados - Analytics
Research,['OK'],Muito genérico,Research,Genérico,Research,Research
Computer Software,['OK'],Adequado,Tecnologia - Software,Específico,Tecnologia - Software,Tecnologia - Software
Telecommunications,['OK'],Muito genérico,Telecom - Geral,Específico,Telecom - Geral,Telecom - Geral
Internet,['OK'],Muito genérico,Digital - Plataformas Online,Específico,Digital - Plataformas Online,Digital - Plataformas Online
Internet,['OK'],Muito genérico,Digital - Plataformas Online,Específico,Digital - Plataformas Online,Digital - Plataformas Online
,['Vazio'],Vazio,Não Informado,Genérico,Setor Não Identificado,Setor Não Identificado
,['Vazio'],Vazio,Não Informado,Genérico,Setor Não Identificado,Setor Não Identificado
Insurance,['OK'],Muito genérico,Financeiro - Seguros,Específico,Financeiro - Seguros,Financeiro - Seguros
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Internet,['OK'],Muito genérico,Digital - Plataformas Online,Específico,Digital - Plataformas Online,Digital - Plataformas Online
Internet,['OK'],Muito genérico,Digital - Plataformas Online,Específico,Digital - Plataformas Online,Digital - Plataformas Online
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
Financial Services,['OK'],Adequado,Financeiro - Serviços,Específico,Financeiro - Serviços,Financeiro - Serviços
Financial Services,['OK'],Adequado,Financeiro - Serviços,Específico,Financeiro - Serviços,Financeiro - Serviços
Information Technology & Services,['OK'],Muito específico,Consultoria - TI,Específico,Consultoria - TI,Consultoria - TI
