Nome da empresa,Problemas_Empresa,Tipo_Nome_Empresa,Empresa_Padronizada,Qualidade_Padronizada
Nordcurrent,['OK'],Nome padrão,Nordcurrent,OK
eClear | TaxFinTech,['Caracteres especiais'],Nome padrão,Eclear Taxfintech,OK
Empathy.co,['OK'],Nome padrão,EmpathyCo,OK
TRAFI,['Tudo maiúsculo'],Contém siglas,Trafi,OK
Trafi,['OK'],Nome padrão,Trafi,OK
GovData Ltd,['OK'],Com sufixo corporativo,GovData,OK
Materna Virtual Solution GmbH,['OK'],Com sufixo corporativo,Materna Virtual Solution,OK
Parser,['OK'],Nome padrão,Parser Digital,OK
Art2Trading,['Contém números'],Nome padrão,Art2Trading,Contém números
Art2Trading,['Contém números'],Nome padrão,Art2Trading,Contém números
Hove,['OK'],Muito curto,Hove,OK
Lindera,['OK'],Nome padrão,Lindera,OK
Thinkproject,['OK'],Nome padrão,Thinkproject,OK
LINKFARMA COSMO SL,['Tudo maiúsculo'],Com sufixo corporativo,LINKFARMA COSMO,Tudo maiúsculo
Selency,['OK'],Nome padrão,Selency,OK
Strix PL,['OK'],Contém siglas,Strix,OK
Mytraffic,['OK'],Nome padrão,MyTraffic,OK
TheForceCode,['OK'],Nome padrão,TheForceCode,OK
Capgemini Invent,['OK'],Nome padrão,Capgemini,OK
Aquila Data Enabler,['OK'],Nome padrão,Aquila Data,OK
Aquila Data Enabler,['OK'],Nome padrão,Aquila Data,OK
Gaiha,['OK'],Nome padrão,Gaiha,OK
GoCardless,['OK'],Nome padrão,Gocardless,OK
Spendesk,['OK'],Nome padrão,Spendesk,OK
Spendesk,['OK'],Nome padrão,Spendesk,OK
ETIQMEDIA SOLUCIONES AUDIOVISUALES SL,['Tudo maiúsculo'],Com sufixo corporativo,ETIQMEDIA SOLUCIONES AUDIOVISUALES,Tudo maiúsculo
ETIQMEDIA SOLUCIONES AUDIOVISUALES SL,['Tudo maiúsculo'],Com sufixo corporativo,ETIQMEDIA SOLUCIONES AUDIOVISUALES,Tudo maiúsculo
TGLAB,['Tudo maiúsculo'],Contém siglas,TGLAB,Tudo maiúsculo
TGLAB,['Tudo maiúsculo'],Contém siglas,TGLAB,Tudo maiúsculo
Keystream,['OK'],Nome padrão,Keystream,OK
Between Technology,['OK'],Nome padrão,Between Technology,OK
PIKON Germany,['OK'],Contém siglas,PIKON Germany,OK
PIKON Germany,['OK'],Contém siglas,PIKON Germany,OK
PIKON,['Tudo maiúsculo'],Contém siglas,PIKON,Tudo maiúsculo
Amazon Development Center Poland,['OK'],Nome padrão,Amazon Development Center Poland,OK
evosoft GmbH,['OK'],Com sufixo corporativo,Evosoft,OK
Evosoft,['OK'],Nome padrão,Evosoft,OK
Cegedim,['OK'],Nome padrão,Cegedim,OK
Consult Red,['OK'],Nome padrão,Consult Red,OK
Eku Energy,['OK'],Nome padrão,Eku Energy,OK
VAIVA,['Tudo maiúsculo'],Contém siglas,VAIVA,Tudo maiúsculo
VAIVA,['Tudo maiúsculo'],Contém siglas,VAIVA,Tudo maiúsculo
DATA C,['Tudo maiúsculo'],Contém siglas,DATA C,Tudo maiúsculo
Data C,['OK'],Nome padrão,Data C,OK
Dalet Digital Media Systems,['OK'],Nome padrão,Dalet Digital Media Systems,OK
Dalet,['OK'],Nome padrão,Dalet,OK
Dalet,['OK'],Nome padrão,Dalet,OK
Price Waterhouse,['OK'],Nome padrão,Price Waterhouse,OK
Price Waterhouse,['OK'],Nome padrão,Price Waterhouse,OK
CleverCards,['OK'],Nome padrão,Clevercards,OK
KUMAVISION AG,['Tudo maiúsculo'],Com sufixo corporativo,KUMAVISION,Tudo maiúsculo
Bosonit,['OK'],Nome padrão,Bosonit,OK
RETMARKER S.A. (METEDA company),['OK'],Contém siglas,RETMARKER SA METEDA Company,OK
BECG,['Tudo maiúsculo'],Muito curto,BECG,Tudo maiúsculo
BECG,['Tudo maiúsculo'],Muito curto,BECG,Tudo maiúsculo
BECG,['Tudo maiúsculo'],Muito curto,BECG,Tudo maiúsculo
BECG (Built Environment Communications Group),['OK'],Contém siglas,BECG Built Environmentmmunications Group,OK
Liberty One,['OK'],Nome padrão,Liberty One,OK
Cavendish Advocacy,['OK'],Nome padrão,Cavendish Advocacy,OK
BECG (Built Environment Communications Group),['OK'],Contém siglas,BECG Built Environmentmmunications Group,OK
Exasol,['OK'],Nome padrão,Exasol,OK
Exasol,['OK'],Nome padrão,Exasol,OK
WEKO,['Tudo maiúsculo'],Muito curto,WEKO,Tudo maiúsculo
PwC,['OK'],Muito curto,Pwc,OK
