País da empresa,Localização da empresa,Estado,Cidade,Cidade_empresa,Estado_empresa,Localizacao_empresa_padronizada,Cidade_empresa_padronizada,Estado_empresa_padronizada,Pais_empresa_padronizada,Pais_consistente
Lithuania,"Vilnius, Vilniaus, Lithuania",Vilniaus,Vilnius,Vilnius,Vilniaus,"Vilnius, Vilnius, Lituânia",Vilnius,Vilnius,Lituânia,Lituânia
Germany,"Berlin, Berlin, Germany",North Rhine-Westphalia,Bonn,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Spain,"Gijón, Principality of Asturias, Spain",Principality of Asturias,Mieres del Camino,Gijón,Principality of Asturias,"Gijón, Astúrias, Espanha",Gijón,Astúrias,Espanha,Espanha
Lithuania,"Vilnius, Vilniaus, Lithuania",Istanbul,Istanbul,Vilnius,Vilniaus,"Vilnius, Vilnius, Lituânia",Vilnius,Vilnius,Lituânia,Lituânia
Lithuania,"Vilnius, Vilniaus, Lithuania",Istanbul,Istanbul,Vilnius,Vilniaus,"Vilnius, Vilnius, Lituânia",Vilnius,Vilnius,Lituânia,Lituânia
United Kingdom,"Warrington, England, United Kingdom",England,Liverpool,Warrington,England,"Warrington, Inglaterra, Reino Unido",Warrington,Inglaterra,Reino Unido,Reino Unido
Germany,"Munich, Bavaria, Germany",Bavaria,Neufahrn bei Freising,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",Catalonia,Castelldefels,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Portugal,"Ílhavo, Aveiro, Portugal",Lisbon,Lisboa,Ílhavo,Aveiro,"Ílhavo, Aveiro, Portugal",Ílhavo,Aveiro,Portugal,Portugal
Portugal,"Ílhavo, Aveiro, Portugal",Lisbon,Lisboa,Ílhavo,Aveiro,"Ílhavo, Aveiro, Portugal",Ílhavo,Aveiro,Portugal,Portugal
