Nome_Empresa,URL_Empresa,Redes_Sociais_Empresa,Telefone da sede,Codigo_Pais_Telefone,Tamanho_Min,Tamanho_Max,Tamanho_Medio,Classificacao_Tamanho_Empresa,Setor_Empresa,Categoria_Setor_empresa,Classificacao_empresa,Geografia_ID,Empresa_ID
Nordcurrent,https://nordcurrent.com,https://www.linkedin.com/company/2817754,,,2010.0,5000.0,3505.0,Muito grande,Jogos Eletrônicos,Outros,Muito Grande,GEO001,EMP001
Eclear Taxfintech,https://eclear.com,https://www.linkedin.com/company/35446538,4930235907100.0,49.0,510.0,2000.0,1255.0,Grande,Software,Tecnologia & TI,Grande,GEO002,EMP002
EmpathyCo,https://empathy.co,https://www.linkedin.com/company/2472920,,,2010.0,5000.0,3505.0,Muito grande,Software,Tecnologia & TI,Muito Grande,GEO003,EMP003
Trafi,https://trafi.com/about-trafi-company,https://www.linkedin.com/company/3022881,,,510.0,2000.0,1255.0,Grande,Software,Tecnologia & TI,Grande,GEO001,EMP004
GovData,https://govdata.co.uk,https://www.linkedin.com/company/10248490,19252696000.0,44.0,510.0,2000.0,1255.0,Grande,Tecnologia Da Informação & Serviços,Tecnologia & TI,Grande,GEO004,EMP005
Materna Virtual Solution,https://materna-virtual-solution.com,https://www.linkedin.com/company/945002,498930905700.0,49.0,510.0,2000.0,1255.0,Grande,Tecnologia Da Informação & Serviços,Tecnologia & TI,Grande,GEO005,EMP006
Parser Digital,https://parserdigital.com,https://www.linkedin.com/company/11142678,,,2010.0,5000.0,3505.0,Muito grande,Tecnologia Da Informação & Serviços,Tecnologia & TI,Muito Grande,GEO006,EMP007
Art2Trading,https://art2trading.com,https://www.linkedin.com/company/70374418,,,10.0,100.0,55.0,Pequena,Tecnologia Da Informação & Serviços,Tecnologia & TI,Pequena,GEO007,EMP008
Hove,https://hove.com,https://www.linkedin.com/company/269166,,,510.0,2000.0,1255.0,Grande,Tecnologia Da Informação & Serviços,Tecnologia & TI,Grande,GEO008,EMP009
Lindera,https://lindera.de,https://www.linkedin.com/company/10683238,,,110.0,500.0,305.0,Média,Tecnologia Da Informação & Serviços,Tecnologia & TI,Média,GEO002,EMP010
Thinkproject,https://thinkproject.com,https://www.linkedin.com/company/1383984,,,5010.0,10000.0,7505.0,Enorme,Software,Tecnologia & TI,Enorme,,EMP011
LINKFARMA COSMO,https://linkfarmacosmo.com,https://www.linkedin.com/company/39752499,349351779130.0,34.0,10.0,100.0,55.0,Pequena,Farmacêutico,Saúde & Farmacêutico,Pequena,GEO010,EMP012
Selency,https://selency.com,https://www.linkedin.com/company/9436747,,,510.0,2000.0,1255.0,Grande,Software,Tecnologia & TI,Grande,GEO008,EMP013
Strix,https://strix.net,https://www.linkedin.com/company/3115665,,,510.0,2000.0,1255.0,Grande,Software,Tecnologia & TI,Grande,GEO011,EMP014
MyTraffic,https://mytraffic.io,https://www.linkedin.com/company/13224055,,,510.0,2000.0,1255.0,Grande,Software,Tecnologia & TI,Grande,GEO008,EMP015
TheForceCode,https://theforcecode.com,https://www.linkedin.com/company/87442145,,,110.0,500.0,305.0,Média,Tecnologia Da Informação & Serviços,Tecnologia & TI,Média,GEO012,EMP016
Capgemini,https://capgemini.com/invent,https://www.linkedin.com/company/1075,,,100010.0,,100010.0,Enterprise,Consultoria Em Gestão,Consultoria & Serviços,Enterprise,GEO008,EMP017
Aquila Data,https://aquiladata.fr,https://www.linkedin.com/company/9200161,,,510.0,2000.0,1255.0,Grande,Tecnologia Da Informação & Serviços,Tecnologia & TI,Grande,GEO013,EMP018
Gaiha,https://gaiha.org,https://www.linkedin.com/company/86609084,,,10.0,100.0,55.0,Pequena,Biotecnologia,Saúde & Farmacêutico,Pequena,GEO008,EMP019
Gocardless,https://gocardless.com,https://www.linkedin.com/company/2808012,,,5010.0,10000.0,7505.0,Enorme,Tecnologia Da Informação & Serviços,Tecnologia & TI,Enorme,GEO014,EMP020
Spendesk,https://spendesk.com,https://www.linkedin.com/company/10554832,,,5010.0,10000.0,7505.0,Enorme,Software,Tecnologia & TI,Enorme,GEO008,EMP021
ETIQMEDIA SOLUCIONES AUDIOVISUALES,https://etiqmedia.com,https://www.linkedin.com/company/39970320,349763642850.0,,110.0,500.0,305.0,Média,Software,Tecnologia & TI,Média,,EMP022
TGLAB,https://tglab.com,https://www.linkedin.com/company/24988215,,,510.0,2000.0,1255.0,Grande,Tecnologia Da Informação & Serviços,Tecnologia & TI,Grande,GEO001,EMP023
