Contato_ID,Pessoa_ID,Empresa_ID,Data_ID,Cargo_ID,Setor_ID,Status_Valido,Tem_LinkedIn
CON001,PES001,EMP001,DAT001,CAR001,SET001,1,1
CON002,PES002,EMP002,DAT001,CAR096,SET002,1,1
CON003,PES003,EMP003,DAT001,CAR003,SET003,1,1
CON004,PES004,EMP004,DAT001,CAR004,SET013,0,1
CON005,PES004,EMP004,DAT001,CAR005,SET013,0,1
CON006,PES005,EMP005,DAT001,CAR005,SET005,1,1
CON007,PES006,EMP006,DAT001,CAR003,SET002,1,1
CON008,PES007,EMP007,DAT001,CAR096,SET013,1,1
CON009,PES008,EMP008,DAT001,CAR006,SET002,0,1
CON010,PES009,EMP008,DAT001,CAR006,SET002,1,1
CON011,PES010,EMP009,DAT001,CAR003,SET002,0,1
CON012,PES011,EMP010,DAT001,CAR096,SET013,1,1
CON013,PES012,EMP011,DAT001,CAR126,SET013,1,1
CON014,PES013,EMP012,DAT001,CAR008,SET006,0,1
CON015,PES014,EMP013,DAT001,CAR005,SET007,1,1
CON016,PES015,EMP014,DAT001,CAR096,SET008,1,1
CON017,PES016,EMP015,DAT001,CAR005,SET008,1,1
CON018,PES017,EMP016,DAT001,CAR009,SET002,1,1
CON019,PES018,EMP017,DAT001,CAR005,SET002,1,1
CON020,PES019,EMP018,DAT001,CAR005,SET002,1,1
CON021,PES019,EMP018,DAT001,CAR010,SET002,1,1
CON022,PES020,EMP019,DAT001,CAR096,SET002,0,1
CON023,PES021,EMP020,DAT001,CAR003,SET009,1,1
CON024,PES022,EMP021,DAT001,CAR011,SET009,1,1
CON025,PES022,EMP021,DAT001,CAR096,SET009,1,1
CON026,PES023,EMP022,DAT001,CAR012,SET010,1,0
CON027,PES023,EMP022,DAT001,CAR013,SET010,1,0
CON028,PES024,EMP023,DAT001,CAR126,SET011,0,1
CON029,PES024,EMP023,DAT001,CAR014,SET011,0,1
CON030,PES025,EMP024,DAT001,CAR126,SET012,1,1
CON031,PES026,EMP025,DAT001,CAR003,SET013,1,0
CON032,PES027,EMP026,DAT002,CAR015,SET002,0,1
CON033,PES027,EMP026,DAT002,CAR096,SET002,0,1
CON034,PES027,EMP027,DAT002,CAR015,SET002,0,1
CON035,PES028,EMP028,DAT002,CAR126,SET013,0,1
CON036,PES029,EMP029,DAT002,CAR016,SET002,1,1
CON037,PES029,EMP029,DAT002,CAR096,SET002,1,1
CON038,PES030,EMP030,DAT002,CAR003,SET002,1,1
CON039,PES031,EMP031,DAT002,CAR126,SET002,0,1
CON040,PES032,EMP032,DAT002,CAR003,SET014,1,1
CON041,PES033,EMP033,DAT002,CAR017,SET015,1,1
CON042,PES033,EMP033,DAT002,CAR003,SET015,1,1
CON043,PES034,EMP034,DAT002,CAR018,SET016,1,1
CON044,PES034,EMP035,DAT002,CAR019,SET016,1,1
CON045,PES035,EMP036,DAT002,CAR003,SET017,1,1
CON046,PES035,EMP037,DAT002,CAR020,SET017,1,1
CON047,PES035,EMP037,DAT002,CAR003,SET017,1,1
CON048,PES036,EMP038,DAT002,CAR021,SET018,1,1
CON049,PES036,EMP038,DAT002,CAR022,SET018,1,1
CON050,PES037,EMP039,DAT002,CAR096,SET013,1,1
CON051,PES038,EMP040,DAT002,CAR003,SET013,1,1
CON052,PES039,EMP041,DAT002,CAR019,SET008,1,1
CON053,PES040,EMP042,DAT002,CAR096,SET013,0,1
CON054,PES041,EMP043,DAT002,CAR003,SET019,1,1
CON055,PES042,EMP043,DAT002,CAR003,SET019,1,1
CON056,PES043,EMP043,DAT002,CAR003,SET019,1,1
CON057,PES043,EMP044,DAT002,CAR023,SET019,1,1
CON058,PES043,EMP045,DAT002,CAR003,SET019,1,1
CON059,PES043,EMP046,DAT002,CAR003,SET019,1,1
CON060,PES043,EMP044,DAT002,CAR024,SET019,1,1
CON061,PES044,EMP047,DAT002,CAR003,SET020,1,1
CON062,PES044,EMP047,DAT002,CAR003,SET020,1,1
CON063,PES045,EMP048,DAT002,CAR003,SET010,0,0
CON064,PES046,EMP049,DAT002,CAR005,SET002,1,1
CON065,PES047,EMP050,DAT002,CAR003,SET002,0,1
CON066,PES048,EMP051,DAT002,CAR003,SET002,1,1
CON067,PES049,EMP052,DAT002,CAR005,SET002,1,1
CON068,PES050,EMP053,DAT002,CAR096,SET013,1,1
CON069,PES051,EMP054,DAT002,CAR005,SET002,1,1
CON070,PES052,EMP055,DAT002,CAR003,SET002,1,1
CON071,PES053,EMP056,DAT002,CAR025,SET002,0,1
CON072,PES054,EMP056,DAT002,CAR025,SET002,0,1
CON073,PES055,EMP057,DAT002,CAR003,SET013,1,1
CON074,PES056,EMP058,DAT002,CAR096,SET002,0,1
CON075,PES057,EMP059,DAT002,CAR026,SET021,1,1
CON076,PES058,EMP060,DAT002,CAR027,SET002,0,1
CON077,PES059,EMP061,DAT002,CAR005,SET022,0,1
CON078,PES060,EMP062,DAT002,CAR096,SET002,0,1
CON079,PES060,EMP062,DAT002,CAR028,SET002,0,1
CON080,PES060,EMP063,DAT002,CAR029,SET002,0,1
CON081,PES060,EMP063,DAT002,CAR030,SET002,0,1
CON082,PES060,EMP063,DAT002,CAR031,SET002,0,1
CON083,PES061,EMP064,DAT002,CAR032,SET002,1,1
CON084,PES061,EMP064,DAT002,CAR033,SET002,1,1
CON085,PES062,EMP065,DAT002,CAR026,SET002,0,1
CON086,PES063,EMP066,DAT002,CAR003,SET002,1,1
CON087,PES064,EMP066,DAT002,CAR003,SET002,1,1
CON088,PES065,EMP067,DAT002,CAR034,SET023,1,1
CON089,PES065,EMP067,DAT002,CAR003,SET023,1,1
CON090,PES066,EMP068,DAT002,CAR035,SET002,1,1
CON091,PES067,EMP069,DAT002,CAR036,SET002,1,1
CON092,PES067,EMP069,DAT002,CAR003,SET002,1,1
CON093,PES068,EMP070,DAT002,CAR037,SET024,0,1
CON094,PES069,EMP071,DAT002,CAR038,SET013,1,1
CON095,PES069,EMP071,DAT002,CAR039,SET013,1,1
CON096,PES069,EMP071,DAT002,CAR005,SET013,1,1
CON097,PES026,EMP025,DAT002,CAR003,SET002,1,1
CON098,PES070,EMP072,DAT002,CAR040,SET013,1,1
CON099,PES071,EMP073,DAT002,CAR126,SET013,0,1
CON100,PES072,EMP074,DAT002,CAR024,SET002,1,1
CON101,PES073,EMP075,DAT002,CAR003,SET002,1,1
CON102,PES074,EMP076,DAT002,CAR126,SET025,1,1
CON103,PES075,EMP077,DAT002,CAR041,SET002,1,1
CON104,PES075,EMP077,DAT002,CAR126,SET002,1,1
CON105,PES075,EMP077,DAT002,CAR042,SET002,1,1
CON106,PES075,EMP077,DAT002,CAR041,SET002,1,1
CON107,PES076,EMP078,DAT003,CAR096,SET008,1,1
CON108,PES077,EMP078,DAT003,CAR096,SET008,1,1
CON109,PES078,EMP079,DAT003,CAR005,SET013,0,1
CON110,PES079,EMP080,DAT003,CAR043,SET008,1,1
CON111,PES079,EMP081,DAT003,CAR005,SET008,1,1
CON112,PES080,EMP082,DAT003,CAR005,SET006,0,1
CON113,PES081,EMP083,DAT003,CAR005,SET026,1,1
CON114,PES082,EMP084,DAT003,CAR003,SET002,1,1
CON115,PES083,EMP050,DAT003,CAR005,SET002,0,1
CON116,PES084,EMP085,DAT003,CAR003,SET002,1,1
CON117,PES084,EMP085,DAT003,CAR044,SET002,1,1
CON118,PES085,EMP086,DAT003,CAR045,SET027,0,1
CON119,PES085,EMP086,DAT003,CAR096,SET027,0,1
CON120,PES086,EMP087,DAT003,CAR046,SET003,0,1
CON121,PES087,EMP088,DAT003,CAR003,SET002,1,1
CON122,PES088,EMP011,DAT003,CAR096,SET013,1,1
CON123,PES089,EMP089,DAT003,CAR005,SET008,1,1
CON124,PES089,EMP089,DAT003,CAR047,SET008,1,1
CON125,PES090,EMP090,DAT003,CAR048,SET008,1,1
CON126,PES091,EMP091,DAT003,CAR096,SET002,1,1
CON127,PES092,EMP092,DAT003,CAR096,SET028,0,1
CON128,PES092,EMP093,DAT003,CAR049,SET028,0,1
CON129,PES093,EMP094,DAT003,CAR003,SET010,0,0
CON130,PES094,EMP095,DAT003,CAR050,SET002,0,1
CON131,PES095,EMP096,DAT003,CAR051,SET002,0,1
CON132,PES096,EMP097,DAT003,CAR003,SET010,0,0
CON133,PES097,EMP098,DAT003,CAR003,SET010,0,0
CON134,PES098,EMP099,DAT003,CAR003,SET013,1,1
CON135,PES099,EMP100,DAT003,CAR003,SET002,1,1
CON136,PES100,EMP101,DAT003,CAR052,SET002,1,1
CON137,PES101,EMP102,DAT003,CAR053,SET002,1,1
